"hgnc_symbol","ensembl_gene_id","external_gene_name","description","gene_biotype"
"HS6ST3","ENSG00000185352","HS6ST3","heparan sulfate 6-O-sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:19134]","protein_coding"
"NDST1","ENSG00000070614","NDST1","N-deacetylase and N-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:7680]","protein_coding"
"NDST2","ENSG00000166507","NDST2","N-deacetylase and N-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:7681]","protein_coding"
"NDST3","ENSG00000164100","NDST3","N-deacetylase and N-sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:7682]","protein_coding"
"NDST4","ENSG00000138653","NDST4","N-deacetylase and N-sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:20779]","protein_coding"
"SULF1","ENSG00000137573","SULF1","sulfatase 1 [Source:HGNC Symbol;Acc:HGNC:20391]","protein_coding"
"SULF2","ENSG00000196562","SULF2","sulfatase 2 [Source:HGNC Symbol;Acc:HGNC:20392]","protein_coding"
"UST","ENSG00000111962","UST","uronyl 2-sulfotransferase [Source:HGNC Symbol;Acc:HGNC:17223]","protein_coding"
"XYLT1","ENSG00000103489","XYLT1","xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15516]","protein_coding"
"XYLT1","ENSG00000285395","XYLT1","xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15516]","protein_coding"
"XYLT2","ENSG00000015532","XYLT2","xylosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15517]","protein_coding"
